epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1441.81,0.09545,0.35065,0.87027,0.93312,0.82775,0.86022,0.84496,0.15791,0.67333,0.53969,0.000387052,0.000387052,0.000387052
60,1476.85,0.08827,0.3835,0.87908,0.82707,0.50557,0.50573,0.48676,0.17795,0.61352,0.56838,0.000378053,0.000378053,0.000378053
61,1519.04,0.08779,0.35967,0.88868,0.65081,0.2585,0.25682,0.25526,0.18078,0.67906,0.56334,0.000369054,0.000369054,0.000369054
62,1814.1,0.0877,0.33222,0.8684,0.83758,0.42081,0.45601,0.44074,0.15654,0.70578,0.54881,0.000360055,0.000360055,0.000360055
63,1845.85,0.08508,0.3517,0.86408,0.90102,0.55424,0.56259,0.54807,0.15178,0.70989,0.54745,0.000351056,0.000351056,0.000351056
64,1875.38,0.08638,0.33783,0.86186,0.76344,0.59694,0.59414,0.57962,0.18152,0.65573,0.55948,0.000342057,0.000342057,0.000342057
65,1903.45,0.08416,0.34909,0.8637,0.91516,0.7716,0.82414,0.81112,0.1612,0.62948,0.54957,0.000333058,0.000333058,0.000333058
66,1932.57,0.07989,0.32779,0.87575,0.95529,0.5858,0.62859,0.61677,0.17776,0.65594,0.56372,0.000324058,0.000324058,0.000324058
67,1962.19,0.08137,0.31363,0.86649,0.94639,0.29082,0.32503,0.32503,0.18255,0.66752,0.56625,0.000315059,0.000315059,0.000315059
68,1990.48,0.08054,0.31696,0.86554,0.84162,0.41679,0.42777,0.42777,0.15474,0.6746,0.54273,0.00030606,0.00030606,0.00030606
69,2019.72,0.08529,0.32973,0.88333,0.90188,0.55371,0.56363,0.56363,0.164,0.69027,0.54503,0.000297061,0.000297061,0.000297061
70,2048.98,0.07759,0.29093,0.86015,0.9452,0.60237,0.59554,0.59554,0.1805,0.67841,0.56732,0.000288062,0.000288062,0.000288062
71,2078.62,0.07393,0.31495,0.87717,0.92681,0.70323,0.68934,0.67247,0.16895,0.64825,0.56346,0.000279063,0.000279063,0.000279063
72,2108.25,0.07879,0.30586,0.87075,0.92294,0.62234,0.65135,0.63534,0.17154,0.60924,0.5498,0.000270064,0.000270064,0.000270064
73,2139.88,0.07137,0.28944,0.8696,0.96127,0.81416,0.88442,0.86151,0.15808,0.6057,0.53776,0.000261065,0.000261065,0.000261065
74,2168.89,0.0746,0.30854,0.87376,0.8264,0.72142,0.76783,0.73837,0.14389,0.61894,0.52162,0.000252066,0.000252066,0.000252066
75,2199.97,0.08001,0.30135,0.87871,0.93824,0.76625,0.84088,0.83217,0.14158,0.65199,0.51537,0.000243067,0.000243067,0.000243067
76,2229.61,0.0724,0.31012,0.87733,0.92796,0.70269,0.71455,0.68797,0.15108,0.66629,0.54532,0.000234068,0.000234068,0.000234068
77,2258.53,0.07164,0.30465,0.88065,0.95347,0.91018,0.95636,0.93875,0.16722,0.69756,0.55421,0.000225068,0.000225068,0.000225068
78,2286.68,0.07276,0.2801,0.86356,0.90297,0.72912,0.75811,0.73573,0.17847,0.68398,0.56665,0.000216069,0.000216069,0.000216069
79,2315.49,0.07413,0.29124,0.87866,0.95135,0.90206,0.91151,0.90179,0.16044,0.68431,0.54673,0.00020707,0.00020707,0.00020707
80,2343,0.06981,0.27791,0.87237,0.94559,0.90094,0.91052,0.9064,0.15563,0.6968,0.53986,0.000198071,0.000198071,0.000198071
81,2370.49,0.06569,0.26952,0.85818,0.93004,0.70236,0.74694,0.73169,0.15988,0.69561,0.54461,0.000189072,0.000189072,0.000189072
82,2396.66,0.06388,0.26029,0.87437,0.93952,0.90762,0.9084,0.89202,0.1547,0.69551,0.54283,0.000180073,0.000180073,0.000180073
83,2422.62,0.06316,0.26758,0.8596,0.9423,0.90578,0.91538,0.89901,0.14517,0.68254,0.53823,0.000171074,0.000171074,0.000171074
84,2451.69,0.06282,0.27309,0.86518,0.93167,0.92155,0.93955,0.92318,0.15583,0.66688,0.54538,0.000162075,0.000162075,0.000162075
85,2481.29,0.05886,0.2638,0.86859,0.92623,0.90859,0.92566,0.90928,0.14931,0.66832,0.53821,0.000153076,0.000153076,0.000153076
86,2507.82,0.05824,0.245,0.87227,0.92469,0.9247,0.94894,0.93257,0.14039,0.64416,0.53311,0.000144077,0.000144077,0.000144077
87,2538.58,0.06156,0.25827,0.85246,0.88576,0.56391,0.57745,0.56218,0.15161,0.62013,0.54221,0.000135077,0.000135077,0.000135077
88,2571.75,0.06099,0.24249,0.85965,0.86857,0.61221,0.63431,0.62146,0.16671,0.63291,0.55671,0.000126078,0.000126078,0.000126078
89,2603.56,0.06124,0.26282,0.87033,0.88116,0.67928,0.70129,0.69079,0.15556,0.61924,0.53955,0.000117079,0.000117079,0.000117079
90,2632.46,0.05721,0.25401,0.86511,0.92221,0.87591,0.93657,0.92686,0.13965,0.59754,0.52448,0.00010808,0.00010808,0.00010808
91,2661.84,0.19599,1.00701,0.9865,0.91133,0.91926,0.9722,0.96248,0.13082,0.6122,0.51897,9.9081e-05,9.9081e-05,9.9081e-05
92,2687.44,0.11465,0.60223,0.91552,0.91943,0.91916,0.93654,0.9269,0.11821,0.62252,0.48474,9.00819e-05,9.00819e-05,9.00819e-05
93,2711.51,0.06521,0.42852,0.86974,0.91767,0.92032,0.93594,0.93594,0.10615,0.63331,0.47706,8.10828e-05,8.10828e-05,8.10828e-05
94,2735.57,0.05936,0.37835,0.85177,0.91892,0.91971,0.94534,0.94534,0.11704,0.65138,0.48661,7.20837e-05,7.20837e-05,7.20837e-05
95,2758.99,0.06318,0.35471,0.84631,0.92171,0.91994,0.96204,0.96204,0.13773,0.67397,0.50635,6.30846e-05,6.30846e-05,6.30846e-05
96,2783.4,0.05804,0.33103,0.87116,0.92175,0.91992,0.97221,0.97221,0.13692,0.65259,0.50632,5.40855e-05,5.40855e-05,5.40855e-05
97,2807.67,0.06042,0.37096,0.84881,0.92115,0.91879,0.95777,0.95777,0.12572,0.59865,0.49741,4.50864e-05,4.50864e-05,4.50864e-05
98,2833.12,0.05119,0.3377,0.85133,0.92229,0.92003,0.9697,0.9697,0.12209,0.58285,0.49525,3.60873e-05,3.60873e-05,3.60873e-05
99,2857.84,0.0495,0.32786,0.86131,0.92233,0.91901,0.95803,0.95803,0.12151,0.5723,0.49525,2.70882e-05,2.70882e-05,2.70882e-05
100,2881.82,0.05156,0.3134,0.839,0.92284,0.92021,0.9722,0.9722,0.12263,0.57403,0.49702,1.80891e-05,1.80891e-05,1.80891e-05
